activity_id,name,type,date,distance_miles,moving_time_min,elapsed_time_min,elevation_gain_ft,avg_pace,avg_pace_sec,max_pace,max_pace_sec
9144594627,Quick pre drive errands,Ride,2023-05-26T14:46:08Z,6.73,00:33:37,00:33:37,183.07,,,,
9102557658,Afternoon Ride,Ride,2023-05-19T21:04:58Z,5.73,00:31:51,00:31:51,62.66,,,,
9100029431,Morning Ride,Ride,2023-05-19T12:32:25Z,5.88,00:29:19,00:29:19,38.39,,,,
9084177390,Afternoon Ride,Ride,2023-05-16T19:56:21Z,5.95,00:37:51,00:37:51,76.44,,,,
9082117223,Morning Ride,Ride,2023-05-16T14:35:30Z,5.92,00:29:26,00:29:26,45.28,,,,
9071215461,Morning Ride,Ride,2023-05-14T13:53:36Z,32.08,01:59:27,01:59:27,1492.78,,,,
9029251861,Ginkgo group ride,Ride,2023-05-07T13:51:21Z,31.83,02:41:28,02:41:28,1331.36,,,,
9015287165,Morning Ride,Ride,2023-05-05T13:21:02Z,5.96,00:33:33,00:33:33,38.39,,,,
9006061191,Evening Ride,Ride,2023-05-03T22:28:49Z,0.0,00:39:53,00:39:53,0.0,,,,
8888948797,Morning Ride,Ride,2023-04-14T12:22:49Z,6.17,00:32:36,00:32:36,46.26,,,,
8207394263,Morning Ride,Ride,2022-12-04T14:02:09Z,33.28,02:22:05,02:22:05,1722.44,,,,
8078667792,Morning Ride,Ride,2022-11-06T13:29:08Z,40.03,02:42:27,02:42:27,1879.92,,,,
7694881017,Afternoon Ride,Ride,2022-08-24T20:53:03Z,15.37,01:03:43,01:03:43,604.99,,,,
7676196294,Morning Ride,Ride,2022-08-21T12:51:20Z,32.46,02:10:54,02:10:54,1341.54,,,,
7616999270,Afternoon Ride,Ride,2022-08-10T19:52:05Z,4.6,00:22:12,00:22:12,254.59,,,,
7479928279,Afternoon Ride,Ride,2022-07-16T17:45:27Z,9.44,00:43:16,00:43:16,288.71,,,,
7479003009,Morning Ride,Ride,2022-07-16T14:57:00Z,9.66,00:43:07,00:43:07,285.43,,,,
7474800553,Afternoon Ride,Ride,2022-07-15T20:15:28Z,8.41,00:41:44,00:41:44,239.5,,,,
7473640347,Lunch Ride,Ride,2022-07-15T15:31:04Z,8.26,00:39:29,00:39:29,119.09,,,,
7395778077,Night Ride,Ride,2022-07-01T01:45:07Z,6.02,00:27:55,00:27:55,84.32,,,,
7395204476,Evening Ride,Ride,2022-06-30T22:13:00Z,6.06,00:31:06,00:31:06,43.96,,,,
7360932727,To / from work,Ride,2022-06-24T12:02:06Z,12.59,01:01:12,01:01:12,131.89,,,,
7340469000,Flat at the end,Ride,2022-06-20T15:29:07Z,30.08,01:55:41,01:55:41,1361.55,,,,
7187396201,Heat advisory -> big ass rain drops,Ride,2022-05-22T19:26:44Z,25.8,01:43:24,01:43:24,1089.24,,,,
7073156150,Lunch Ride,Ride,2022-05-01T15:58:57Z,39.11,02:41:59,02:41:59,1717.19,,,,
7029799172,Turned into a fixed speed ride,Ride,2022-04-23T17:10:25Z,32.4,02:12:31,02:12:31,1324.48,,,,
6998133676,Lunch Ride,Ride,2022-04-17T15:36:37Z,32.79,02:20:19,02:20:19,1374.34,,,,
6855106959,Lunch Ride,Ride,2022-03-20T15:12:30Z,20.14,01:28:57,01:28:57,899.93,,,,
6396219971,Afternoon Ride,Ride,2021-12-17T22:18:22Z,6.24,00:38:23,00:38:23,67.59,,,,
6395485074,Lunch Ride,Ride,2021-12-17T17:35:39Z,6.2,00:34:38,00:34:38,37.07,,,,
6161590592,Lunch Ride,Ride,2021-10-24T16:44:44Z,14.38,01:10:07,01:10:07,533.79,,,,
6054425282,Lazy bike ride,Ride,2021-10-02T20:58:57Z,5.69,00:30:27,00:30:27,298.23,,,,
6039715517,Afternoon Ride,Ride,2021-09-29T20:00:16Z,6.17,00:34:29,00:34:29,67.91,,,,
6037834030,Morning Ride,Ride,2021-09-29T12:41:29Z,6.36,00:34:25,00:34:25,39.37,,,,
5998852610,Evening Ride,Ride,2021-09-22T00:27:25Z,2.41,00:15:38,00:15:38,31.82,,,,
5995729464,Morning Ride,Ride,2021-09-21T12:40:26Z,7.35,00:40:33,00:40:33,36.42,,,,
5676286817,Evening Ride,Ride,2021-07-23T23:04:17Z,3.27,00:17:46,00:17:46,41.34,,,,
5676107955,Afternoon Ride,Ride,2021-07-23T21:57:50Z,3.17,00:17:05,00:17:05,16.08,,,,
5658639612,Lunch Ride,Ride,2021-07-20T15:49:11Z,12.25,00:53:38,00:53:38,737.53,,,,
5643350112,Lunch Ride,Ride,2021-07-17T15:36:49Z,15.0,01:04:49,01:04:49,819.88,,,,
5274560624,"Park loop, part 2",Ride,2021-05-10T17:24:59Z,10.06,00:51:08,00:51:08,871.72,,,,
5273474290,"Park loop, part 1",Ride,2021-05-10T14:19:38Z,11.28,00:51:04,00:51:04,928.15,,,,
5270351042,Schoodic gravel,Ride,2021-05-09T16:12:53Z,6.88,00:55:17,00:55:17,423.88,,,,
5037638149,Morning Ride,Ride,2021-03-30T14:37:28Z,4.83,00:25:41,00:25:41,83.66,,,,
5037159793,Morning Ride,Ride,2021-03-30T13:21:11Z,4.52,00:19:43,00:19:43,48.56,,,,
4996519870,Lunch Ride,Ride,2021-03-23T15:30:11Z,0.65,00:03:17,00:03:17,0.0,,,,
4996503444,Lunch Ride,Ride,2021-03-23T15:05:11Z,4.73,00:20:40,00:20:40,101.71,,,,
4996344841,Morning Ride,Ride,2021-03-23T14:28:15Z,4.63,00:21:42,00:21:42,44.95,,,,
4980778308,Part B,Ride,2021-03-20T18:59:20Z,23.59,01:37:30,01:37:30,1050.85,,,,
4980419657,Part A,Ride,2021-03-20T18:10:32Z,10.5,00:46:02,00:46:02,493.77,,,,
4920752265,New bicyclette 2.0 test ride,Ride,2021-03-09T22:00:45Z,3.95,00:17:51,00:17:51,149.28,,,,
4920344522,Testing out the new bicyclette,Ride,2021-03-09T20:08:27Z,5.43,00:24:10,00:24:10,257.22,,,,
3883907456,Lunch Ride,Ride,2020-08-08T16:30:12Z,6.76,00:41:13,00:41:13,387.8,,,,
3745917945,Morning Ride,Ride,2020-07-11T13:05:12Z,6.16,00:36:58,00:36:58,369.09,,,,
3732499011,Lunch Ride,Ride,2020-07-08T16:11:53Z,4.31,00:24:13,00:24:13,203.74,,,,
3495693767,Evening Ride,Ride,2020-05-22T22:58:24Z,4.18,00:21:22,00:21:22,189.3,,,,
3495292330,Afternoon Ride,Ride,2020-05-22T17:28:34Z,5.12,00:35:29,00:35:29,267.06,,,,
3490822805,Hood ride,Ride,2020-05-21T21:35:36Z,8.81,00:52:01,00:52:01,524.61,,,,
3468009335,Lost most of the miles somehow,Ride,2020-05-17T17:06:57Z,1.57,00:09:45,00:09:45,126.31,,,,
3456955944,Afternoon Ride,Ride,2020-05-15T20:40:25Z,10.97,00:53:07,00:53:07,560.7,,,,
3436347850,It’s been awhile ,Ride,2020-05-11T20:26:27Z,5.23,00:28:33,00:28:33,298.88,,,,
3434451590,Afternoon Ride,Ride,2020-05-09T18:40:12Z,3.86,00:18:53,00:18:53,120.73,,,,
2735030908,Queenstown Trail to Wineries/Brewereis!,Ride,2019-09-23T21:49:48Z,25.03,02:36:22,02:36:22,1513.12,,,,
2651634043,Home!,Ride,2019-08-25T20:18:08Z,5.5,00:32:10,00:32:10,69.55,,,,
2650906737,To Downeaster,Ride,2019-08-25T16:26:07Z,2.96,00:14:19,00:14:19,89.9,,,,
2647937711,Brewery to hotel.. and DONE.!,Ride,2019-08-24T18:10:48Z,3.46,00:19:26,00:19:26,135.5,,,,
2647629617,"Day 2 - to Bissell Bros, Portland ",Ride,2019-08-24T13:07:32Z,39.7,02:55:55,02:55:55,866.14,,,,
2645218301,Day one!! To Wells,Ride,2019-08-23T16:35:27Z,51.85,03:30:13,03:30:13,1407.15,,,,
2644323468,And so it begins.. to train station,Ride,2019-08-23T14:34:52Z,5.25,00:22:34,00:22:34,49.54,,,,
2630447619,South shore coastal ride with the Wrenbecks,Ride,2019-08-18T14:05:06Z,36.33,02:22:28,02:22:28,1015.75,,,,
2610033094,Burlington island rail trail,Ride,2019-08-11T12:21:35Z,25.36,01:43:40,01:43:40,431.43,,,,
2587541312,"Now, for lunch",Ride,2019-08-03T15:00:55Z,26.33,01:50:21,01:50:21,1249.02,,,,
2577050663,Evening Ride,Ride,2019-07-30T22:53:23Z,4.35,00:23:31,00:23:31,47.24,,,,
2576856455,To Margo’s,Ride,2019-07-30T20:57:53Z,4.86,00:27:42,00:27:42,83.99,,,,
2532191537,Quick meander before Zach gets his hair did,Ride,2019-07-14T16:20:30Z,9.07,00:36:53,00:36:53,106.63,,,,
2509233090,First ride this year,Ride,2019-07-06T13:39:05Z,15.45,01:18:13,01:18:13,818.9,,,,
2083727057,Spin once I remembered to start my watch,Ride,2019-01-16T22:16:33Z,0.0,00:34:46,00:34:46,0.0,,,,
2027396115,Spin,Ride,2018-12-20T23:07:11Z,0.0,00:41:04,00:41:04,0.0,,,,
2024243493,Pursuit @ the fanciest gym I’ve ever been to,Ride,2018-12-18T22:56:56Z,0.0,01:13:15,01:13:15,0.0,,,,
1797216079,Quick pre pre-dinner drinks carriage ride,Ride,2018-08-25T20:15:31Z,4.1,00:24:58,00:24:58,294.29,,,,
1660137958,Reservations ride,Ride,2018-06-24T19:10:00Z,18.35,01:09:38,01:09:38,771.0,,,,
1627317335,Little ride,Ride,2018-06-09T13:55:57Z,14.84,01:04:13,01:04:13,408.46,,,,
1615420071,Acadia!!,Ride,2018-06-02T19:59:31Z,16.43,01:49:07,01:49:07,1492.78,,,,
1570358709,Day turned pretty,Ride,2018-05-13T18:50:25Z,11.48,01:00:23,01:00:23,431.76,,,,
1551978129,Cape Ann - post lunch,Ride,2018-05-05T19:30:29Z,11.1,00:51:46,00:51:46,465.22,,,,
1551777456,Cape Ann - pre lunch,Ride,2018-05-05T16:45:52Z,10.54,00:46:44,00:46:44,622.7,,,,
1427671727,From Yoga,Ride,2018-02-26T22:47:24Z,2.98,00:16:06,00:16:06,29.53,,,,
1427493788,To yoga,Ride,2018-02-26T20:21:45Z,3.06,00:16:18,00:16:18,30.18,,,,
1423603116,Morning Ride,Ride,2018-02-24T14:29:05Z,4.82,00:28:16,00:28:16,28.54,,,,
1213936460,Afternoon Ride,Ride,2017-10-03T21:04:10Z,4.21,00:23:43,00:23:43,86.94,,,,
1063062112,Mileage fix,Ride,2017-07-01T22:52:14Z,4.4,00:19:26,00:19:26,0.0,,,,
1063061296,Just state hopping,Ride,2017-07-01T20:39:51Z,25.64,01:52:04,01:52:04,58.07,,,,
1043480016,Pungo for fungo,Ride,2017-06-18T20:44:20Z,22.02,01:29:59,01:29:59,33.79,,,,
1032400442,To and from the Apple Store ish ,Ride,2017-06-11T20:19:41Z,11.62,01:01:42,01:01:42,102.03,,,,
1021668125,Exploring Norfolk,Ride,2017-06-04T21:42:31Z,11.98,01:19:51,01:19:51,74.8,,,,
575854523,First long ride of the year ,Ride,2016-05-14T14:42:04Z,18.72,01:26:09,01:26:09,565.29,,,,
426578275,Afternoon Ride,Ride,2015-11-04T19:24:38Z,26.1,01:59:44,01:59:44,705.71,,,,
655879917,Afternoon Ride,Ride,2015-09-26T23:35:17Z,4.09,00:14:12,00:14:12,44.29,,,,
401650653,Not quite done,Ride,2015-09-26T23:35:17Z,4.1,00:14:41,00:14:41,41.01,,,,
401650721,Crater Lake,Ride,2015-09-26T18:06:42Z,21.09,02:43:57,02:43:57,3424.54,,,,
390840254,Afternoon Ride,Ride,2015-09-12T19:10:49Z,31.66,02:33:14,02:33:14,2652.23,,,,
386974281,Morning Ride,Ride,2015-09-07T13:32:44Z,29.95,02:05:31,02:05:31,1447.18,,,,
380088626,Morning Ride,Ride,2015-08-29T13:03:54Z,13.49,01:18:55,01:18:55,177.17,,,,
375013748,Lunch Ride,Ride,2015-08-22T16:14:49Z,17.71,01:15:14,01:15:14,528.22,,,,
370590256,Afternoon Ride,Ride,2015-08-16T17:26:37Z,20.61,01:31:04,01:31:04,226.05,,,,
370358068,Morning Ride,Ride,2015-08-16T13:43:31Z,13.61,01:05:44,01:05:44,847.44,,,,
364555935,Afternoon Ride,Ride,2015-08-08T21:35:23Z,22.38,01:28:45,01:28:45,567.91,,,,
304070226,Afternoon Ride,Ride,2015-05-13T21:39:56Z,26.66,02:07:45,02:07:45,1018.7,,,,
296898333,Afternoon Ride,Ride,2015-05-02T19:00:04Z,24.22,01:54:28,01:54:28,885.83,,,,
295109503,Evening Ride,Ride,2015-04-29T22:22:31Z,17.11,01:24:38,01:24:38,516.73,,,,
290750860,Windy ride with KTran,Ride,2015-04-22T21:53:45Z,15.0,01:16:17,01:16:17,439.96,,,,
288017371,Afternoon Ride,Ride,2015-04-18T19:05:01Z,26.15,02:03:32,02:03:32,1032.15,,,,
2532538834,Portland Part 2,Ride,2010-01-01T00:00:00Z,31.08,03:06:21,03:06:21,524.93,,,,
2532530889,Portland Part 1,Ride,2010-01-01T00:00:00Z,58.13,05:48:33,05:48:33,1300.52,,,,
