activity_id,name,type,gear_id,date,distance_miles,moving_time_min,elapsed_time_min,elevation_gain_ft,avg_pace,avg_pace_sec,max_pace,max_pace_sec,start_lat,start_lng
17753655448,Lunch Hike,Hike,,2026-03-17T10:46:50Z,4.44,01:45:52,02:09:02,708.66,23:51,1431.0,08:26,506.0,37.174298,-3.593607
17730498678,Solo perro parenting,Hike,,2026-03-15T09:24:06Z,8.23,02:43:29,02:57:55,1068.57,19:51,1191.0,07:50,470.0,37.174318,-3.593572
17636558139,Muddy out there today,Hike,,2026-03-07T09:19:40Z,7.39,02:57:40,03:27:36,1157.81,24:02,1442.0,05:57,357.0,37.174351,-3.593495
17427013872,Meander with the Smiths,Hike,,2026-02-17T09:33:18Z,4.81,02:09:51,03:19:39,639.11,26:59,1619.0,08:49,529.0,37.174534,-3.593721
17327834940,Morning Hike,Hike,,2026-02-08T09:28:17Z,6.39,02:26:41,02:43:17,1018.7,22:56,1376.0,09:50,590.0,37.174617,-3.593773
17251638463,SL-A 282 Nacimiento Río Ítrabo - Picacho Bodíjaras,Hike,,2026-02-01T10:38:49Z,8.52,03:00:32,03:29:04,2250.0,21:11,1271.0,04:47,287.0,36.80084,-3.64234
17237827660,Finally a break in the rain!,Hike,,2026-01-31T10:04:51Z,7.18,02:40:06,02:56:06,1061.68,22:18,1338.0,09:52,592.0,37.174427,-3.593704
17160332153,Snow in Granada!,Hike,,2026-01-24T10:48:34Z,4.56,01:42:00,02:05:53,786.42,22:21,1341.0,09:24,564.0,37.174281,-3.593657
17094565756,Afternoon Hike,Hike,,2026-01-18T12:32:39Z,6.86,02:33:48,02:55:32,1086.94,22:25,1345.0,09:03,543.0,37.174312,-3.59372
17000425201,Lunch Hike,Hike,,2026-01-10T10:28:09Z,7.13,02:34:44,02:57:26,1116.47,21:43,1303.0,06:30,390.0,37.174387,-3.593558
16970226021,Had a great time until the dogs dissapeared,Hike,,2026-01-07T11:59:18Z,4.94,01:53:12,02:44:46,1604.66,22:53,1373.0,06:10,370.0,37.16028,-3.45375
16912731500,PR-A 21 Canal de la Espartera,Hike,,2026-01-02T10:11:47Z,8.68,02:55:59,03:08:27,1837.93,20:16,1216.0,06:23,383.0,37.08463,-3.52518
16894059692,Back home,Hike,,2025-12-31T09:53:37Z,8.03,02:55:41,03:28:53,1351.05,21:52,1312.0,08:26,506.0,37.17443,-3.593639
16875261523,Bad Homburg,Hike,,2025-12-29T10:56:02Z,11.62,03:45:50,05:02:36,1321.52,19:26,1166.0,08:29,509.0,50.222228,8.621792
16836341228,Pre flight hike,Hike,,2025-12-25T09:43:00Z,6.43,02:14:52,02:24:35,1031.5,20:59,1259.0,08:34,514.0,37.174399,-3.591487
16741411412,Afternoon Hike,Hike,,2025-12-14T12:26:00Z,4.1,01:37:50,02:16:48,684.06,23:53,1433.0,08:10,490.0,37.17462,-3.593726
16732966034,More miles for Brisket,Hike,,2025-12-13T15:20:52Z,4.63,01:37:06,01:41:53,701.12,20:59,1259.0,09:43,583.0,37.174472,-3.593646
16730054047,Cut it short because Face isn’t well,Hike,,2025-12-13T10:25:06Z,3.49,01:23:10,01:40:34,589.9,23:51,1431.0,09:07,547.0,37.174651,-3.593396
16676181712,Lunch Hike,Hike,,2025-12-07T11:10:27Z,6.39,02:31:45,03:08:28,1131.23,23:45,1425.0,09:25,565.0,37.092613,-3.389608
16665255470,Morning Hike,Hike,,2025-12-06T08:56:08Z,8.39,03:02:05,03:27:38,1428.81,21:42,1302.0,09:00,540.0,37.17436,-3.593724
16609441381,Cold & Drizzly,Hike,,2025-11-30T09:48:37Z,5.32,02:02:25,02:26:51,843.5,23:00,1380.0,08:29,509.0,37.174478,-3.593648
16600249380,Morning Hike,Hike,,2025-11-29T09:13:56Z,9.35,03:31:02,04:10:35,1463.58,22:34,1354.0,09:40,580.0,37.174496,-3.593605
16544157375,Güéjar Sierra - Vereda de la Estrella,Hike,,2025-11-23T10:17:17Z,9.15,02:35:16,03:07:51,1312.99,16:57,1017.0,04:23,263.0,37.15844,-3.44276
16533008830,Lunch Hike,Hike,,2025-11-22T10:36:15Z,5.26,01:57:50,02:06:36,1033.14,22:24,1344.0,08:16,496.0,37.174293,-3.593497
16475030208,Morning Hike,Hike,,2025-11-16T09:40:30Z,6.3,02:31:06,02:54:10,1141.4,23:59,1439.0,09:43,583.0,37.174488,-3.59359
16463911691,Love that this is basically our backyard,Hike,,2025-11-15T08:44:43Z,6.98,02:39:10,02:58:05,1063.65,22:48,1368.0,09:29,569.0,37.174429,-3.593612
16405502449,First foray into the Sierra Nevadas,Hike,,2025-11-09T11:54:09Z,4.56,01:33:03,01:45:43,727.03,20:24,1224.0,10:48,648.0,37.08419,-3.52472
15952259359,Lunch Hike,Hike,,2025-09-27T10:15:30Z,4.26,01:37:47,01:37:47,865.81,,,,,42.487946,2.831478
15253943518,Morning Hike,Hike,,2025-07-27T12:13:09Z,5.33,01:59:27,01:59:27,380.58,,,,,42.41087,-71.113407
15101654018,Morning Hike,Hike,,2025-07-13T13:24:15Z,2.63,01:03:58,01:03:58,232.61,,,,,42.455243,-71.107803
15025843466,Morning Hike,Hike,,2025-07-06T12:51:41Z,2.6,01:00:04,01:00:04,169.95,,,,,42.45558,-71.107686
15004659829,Morning Hike,Hike,,2025-07-04T12:40:34Z,2.61,01:02:05,01:02:05,198.49,,,,,42.455392,-71.107615
14723466895,Morning Hike,Hike,,2025-06-07T11:46:16Z,2.89,01:09:24,01:09:24,280.84,,,,,42.455269,-71.107775
14662688460,Morning Hike,Hike,,2025-06-01T12:22:54Z,2.46,00:56:26,00:56:26,214.57,,,,,42.458869,-71.108035
14602269566,Lunch Hike,Hike,,2025-05-26T15:47:11Z,2.76,01:14:00,01:14:00,321.85,,,,,42.443688,-71.07426
14579968973,Morning Hike,Hike,,2025-05-24T12:20:37Z,2.55,00:59:20,00:59:20,236.22,,,,,42.455795,-71.108179
14519427989,Morning Hike,Hike,,2025-05-18T12:38:58Z,2.75,00:59:18,00:59:18,228.67,,,,,42.455468,-71.10758
14480399884,Three walks a day makes the dogs less cray,Hike,,2025-05-14T16:37:09Z,2.55,00:53:24,00:53:24,663.06,,,,,44.094593,-71.915003
